smiles, logK
[H]O1->[Yb+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.10
[H]O1->[La+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.21
[H]O1->[Dy+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.62
[H]O1->[Lu+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.97
[H]O1->[Gd+3]<-[O-]C(=O)C1([H])C([H])([H])[H], 3.53
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Cd+2]<-N1([H])[H])n2[H], 5.01
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Fe+3]<-N1([H])[H])n2[H], 9.92
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Mn+2]<-N1([H])[H])n2[H], 3.01
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Mg+2]<-N1([H])[H])n2[H], 2.41
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Zn+2]<-N1([H])[H])n2[H], 5.33
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[U+2]<-N1([H])[H])n2[H], 7.93
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Co+2]<-N1([H])[H])n2[H], 4.92
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Am+3]<-N1([H])[H])n2[H], 5.52
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Ni+2]<-N1([H])[H])n2[H], 5.94
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[V+2]<-N1([H])[H])n2[H], 8.03
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Cu+2]<-N1([H])[H])n2[H], 8.13
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Hg+2]<-N1([H])[H])n2[H], 12.15
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Fe+2]<-N1([H])[H])n2[H], 4.04
[H]c1c([H])c([H])c2c(c1[H])c([H])c(C([H])([H])C1([H])C(=O)[O-]->[Ag+]<-N1([H])[H])n2[H], 3.85
[H]C([H])(C(=O)[O-])C([H])([H])C([H])([H])C(=O)[O-]->[Sm+3], 4.59
[H]C([H])(C(=O)[O-])C([H])([H])C([H])([H])C(=O)[O-]->[Dy+3], 4.48
[H]C([H])(C(=O)[O-])C([H])([H])C([H])([H])C(=O)[O-]->[U+2], 4.72
[H]C([H])(C(=O)[O-])C([H])([H])C([H])([H])C(=O)[O-]->[Ni+2], 2.50
