smiles, logK
[Dy+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.56
[Er+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.71
[Gd+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 12.82
[Ho+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.57
[Lu+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 14.08
[Nd+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 12.08
[Pr+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 11.87
[Sm+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 12.56
[Tm+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.84
[Yb+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 14.38
[Ce+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 12.08
[Eu+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.96
[Tb+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 14.55
[Dy+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 14.83
[Er+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 15.09
[Gd+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 13.94
[Ho+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 14.88
[Lu+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 15.87
[Nd+3].OC(CN(CC(O)=O)CC(O)=O)CN(CC(O)=O)CC(O)=O, 12.88
